ad_archive_id,page_id,page_name,ad_creation_time,ad_delivery_start_time,ad_delivery_stop_time,byline,ad_creative_bodies,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,impressions,spend,currency,demographic_distribution,delivery_by_region,publisher_platforms,estimated_audience_size,languages
643413457271484,104135461941439,"Blake Masters for Senate",2022-10-28,2022-10-28,2022-11-09,"BLAKE MASTERS FOR SENATE","Vote like the future of America depends on it—because it does. Find your polling place for Election Day on Tuesday, November 8","Vote Blake Masters on Tuesday, Nov. 8",vote.gop,"Find your polling location","lower_bound: 900000, upper_bound: 999999","lower_bound: 20000, upper_bound: 24999",USD,"{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001075},{""age"":""45-54"",""gender"":""male"",""percentage"":0.089477},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.001115},{""age"":""25-34"",""gender"":""female"",""percentage"":0.098126},{""age"":""18-24"",""gender"":""female"",""percentage"":0.032595},{""age"":""25-34"",""gender"":""male"",""percentage"":0.102103},{""age"":""35-44"",""gender"":""female"",""percentage"":0.100868},{""age"":""65+"",""gender"":""male"",""percentage"":0.077554},{""age"":""55-64"",""gender"":""male"",""percentage"":0.084415},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001155},{""age"":""18-24"",""gender"":""male"",""percentage"":0.031861},{""age"":""55-64"",""gender"":""female"",""percentage"":0.093847},{""age"":""35-44"",""gender"":""male"",""percentage"":0.10143},{""age"":""45-54"",""gender"":""female"",""percentage"":0.088764},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001035},{""age"":""65+"",""gender"":""female"",""percentage"":0.093465},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000854},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000261}","{""region"":""Wyoming"",""percentage"":1.0e-5},{""region"":""Eastern Visayas"",""percentage"":1.0e-5},{""region"":""New York"",""percentage"":3.0e-5},{""region"":""Pennsylvania"",""percentage"":1.0e-5},{""region"":""Tennessee"",""percentage"":1.0e-5},{""region"":""Texas"",""percentage"":0.0001},{""region"":""Utah"",""percentage"":2.0e-5},{""region"":""Washington"",""percentage"":2.0e-5},{""region"":""\u0130zmir Province"",""percentage"":1.0e-5},{""region"":""England"",""percentage"":1.0e-5},{""region"":""Puntarenas Province"",""percentage"":1.0e-5},{""region"":""Missouri"",""percentage"":1.0e-5},{""region"":""Georgia"",""percentage"":1.0e-5},{""region"":""Ohio"",""percentage"":1.0e-5},{""region"":""Oregon"",""percentage"":1.0e-5},{""region"":""Wisconsin"",""percentage"":1.0e-5},{""region"":""Catalu\u00f1a"",""percentage"":2.0e-5},{""region"":""Northern Ireland"",""percentage"":1.0e-5},{""region"":""Calabarzon"",""percentage"":1.0e-5},{""region"":""Central Visayas"",""percentage"":1.0e-5},{""region"":""Ahmadi Governorate"",""percentage"":1.0e-5},{""region"":""Nevada"",""percentage"":0.00015},{""region"":""Louisiana"",""percentage"":1.0e-5},{""region"":""Eastern Macedonia and Thrace"",""percentage"":1.0e-5},{""region"":""Minnesota"",""percentage"":1.0e-5},{""region"":""Addis Ababa"",""percentage"":1.0e-5},{""region"":""Baja California"",""percentage"":2.0e-5},{""region"":""Baja California Sur"",""percentage"":5.0e-5},{""region"":""Sonora"",""percentage"":5.0e-5},{""region"":""California"",""percentage"":0.000299},{""region"":""Idaho"",""percentage"":3.0e-5},{""region"":""Illinois"",""percentage"":4.0e-5},{""region"":""Kansas"",""percentage"":1.0e-5},{""region"":""Maine"",""percentage"":1.0e-5},{""region"":""New Mexico"",""percentage"":9.0e-5},{""region"":""Indiana"",""percentage"":1.0e-5},{""region"":""North Carolina"",""percentage"":3.0e-5},{""region"":""Oklahoma"",""percentage"":2.0e-5},{""region"":""Virginia"",""percentage"":2.0e-5},{""region"":""Chihuahua"",""percentage"":1.0e-5},{""region"":""Alabama"",""percentage"":1.0e-5},{""region"":""Colorado"",""percentage"":5.0e-5},{""region"":""Connecticut"",""percentage"":2.0e-5},{""region"":""Florida"",""percentage"":6.0e-5},{""region"":""Hawaii"",""percentage"":1.0e-5},{""region"":""Arizona"",""percentage"":0.998625}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",en
508023547865558,104135461941439,"Blake Masters for Senate",2022-10-25,2022-10-25,2022-11-09,"BLAKE MASTERS FOR SENATE","13%... 

That's the inflation rate in Metro Phoenix—the HIGHEST in the nation. We're suffering, and Mark Kelly isn't helping.","We Can't Afford Mark Kelly",blakemasters.com,"We Need Blake Masters >>>","lower_bound: 80000, upper_bound: 89999","lower_bound: 1500, upper_bound: 1999",USD,"{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000558},{""age"":""55-64"",""gender"":""male"",""percentage"":0.046676},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.00145},{""age"":""45-54"",""gender"":""male"",""percentage"":0.051974},{""age"":""45-54"",""gender"":""female"",""percentage"":0.054205},{""age"":""55-64"",""gender"":""female"",""percentage"":0.055543},{""age"":""25-34"",""gender"":""male"",""percentage"":0.163172},{""age"":""25-34"",""gender"":""female"",""percentage"":0.182579},{""age"":""18-24"",""gender"":""female"",""percentage"":0.084542},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000669},{""age"":""18-24"",""gender"":""male"",""percentage"":0.062402},{""age"":""65+"",""gender"":""female"",""percentage"":0.062402},{""age"":""35-44"",""gender"":""male"",""percentage"":0.085378},{""age"":""35-44"",""gender"":""female"",""percentage"":0.095026},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000613},{""age"":""65+"",""gender"":""male"",""percentage"":0.051472},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000669},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000669}","{""region"":""Sinaloa"",""percentage"":5.5e-5},{""region"":""Colorado"",""percentage"":5.5e-5},{""region"":""Wisconsin"",""percentage"":5.5e-5},{""region"":""Utah"",""percentage"":5.5e-5},{""region"":""Texas"",""percentage"":0.000111},{""region"":""Florida"",""percentage"":5.5e-5},{""region"":""Puebla"",""percentage"":5.5e-5},{""region"":""Distrito Federal"",""percentage"":5.5e-5},{""region"":""Missouri"",""percentage"":0.000111},{""region"":""California"",""percentage"":0.000776},{""region"":""Kentucky"",""percentage"":5.5e-5},{""region"":""Sonora"",""percentage"":0.000333},{""region"":""Jalisco"",""percentage"":5.5e-5},{""region"":""Baghdad Governorate"",""percentage"":5.5e-5},{""region"":""Tennessee"",""percentage"":5.5e-5},{""region"":""Kansas"",""percentage"":5.5e-5},{""region"":""Oregon"",""percentage"":0.000111},{""region"":""New Mexico"",""percentage"":5.5e-5},{""region"":""Nevada"",""percentage"":5.5e-5},{""region"":""Arizona"",""percentage"":0.997783}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",en
1230900777474334,104135461941439,"Blake Masters for Senate",2022-10-25,2022-10-25,2022-11-09,"BLAKE MASTERS FOR SENATE","13%... 📈

That's the inflation rate in Metro Phoenix—the HIGHEST in the nation. We're suffering, & Mark Kelly isn't helping.","We Can't Afford Mark Kelly",blakemasters.com,"We Need Blake Masters >>>","lower_bound: 80000, upper_bound: 89999","lower_bound: 2000, upper_bound: 2499",USD,"{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000933},{""age"":""25-34"",""gender"":""female"",""percentage"":0.201038},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000408},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000642},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000933},{""age"":""25-34"",""gender"":""male"",""percentage"":0.162826},{""age"":""18-24"",""gender"":""male"",""percentage"":0.070183},{""age"":""55-64"",""gender"":""female"",""percentage"":0.049822},{""age"":""35-44"",""gender"":""female"",""percentage"":0.101219},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.00105},{""age"":""45-54"",""gender"":""male"",""percentage"":0.045563},{""age"":""45-54"",""gender"":""female"",""percentage"":0.058923},{""age"":""18-24"",""gender"":""female"",""percentage"":0.097602},{""age"":""65+"",""gender"":""female"",""percentage"":0.054956},{""age"":""35-44"",""gender"":""male"",""percentage"":0.080509},{""age"":""55-64"",""gender"":""male"",""percentage"":0.038271},{""age"":""65+"",""gender"":""male"",""percentage"":0.034829},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000292}","{""region"":""Alabama"",""percentage"":6.0e-5},{""region"":""Missouri"",""percentage"":6.0e-5},{""region"":""Michigan"",""percentage"":6.0e-5},{""region"":""Wisconsin"",""percentage"":6.0e-5},{""region"":""Texas"",""percentage"":0.000119},{""region"":""Sonora"",""percentage"":0.000298},{""region"":""Distrito Federal"",""percentage"":6.0e-5},{""region"":""Utah"",""percentage"":6.0e-5},{""region"":""Ohio"",""percentage"":6.0e-5},{""region"":""Washington, District of Columbia"",""percentage"":6.0e-5},{""region"":""Colorado"",""percentage"":6.0e-5},{""region"":""California"",""percentage"":0.000477},{""region"":""Jalisco"",""percentage"":6.0e-5},{""region"":""Baja California"",""percentage"":6.0e-5},{""region"":""Calabarzon"",""percentage"":6.0e-5},{""region"":""New Mexico"",""percentage"":6.0e-5},{""region"":""Nevada"",""percentage"":0.000119},{""region"":""Kansas"",""percentage"":6.0e-5},{""region"":""Illinois"",""percentage"":6.0e-5},{""region"":""Arizona"",""percentage"":0.998094}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",en
1457324744780146,104135461941439,"Blake Masters for Senate",2022-10-25,2022-10-25,2022-11-09,"BLAKE MASTERS FOR SENATE","MARK KELLY'S RECORD:

❌ NO to 20,000 new border agents to protect you
✅ YES to 87,000 new IRS agents to take your money","Mark Kelly Doesn't Care About Our Safety",blakemasters.com,"Blake Masters Does.","lower_bound: 50000, upper_bound: 59999","lower_bound: 900, upper_bound: 999",USD,"{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000685},{""age"":""45-54"",""gender"":""female"",""percentage"":0.061146},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000343},{""age"":""55-64"",""gender"":""female"",""percentage"":0.061969},{""age"":""25-34"",""gender"":""female"",""percentage"":0.142172},{""age"":""18-24"",""gender"":""female"",""percentage"":0.068961},{""age"":""25-34"",""gender"":""male"",""percentage"":0.146079},{""age"":""35-44"",""gender"":""female"",""percentage"":0.084727},{""age"":""65+"",""gender"":""male"",""percentage"":0.066562},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000754},{""age"":""35-44"",""gender"":""male"",""percentage"":0.093502},{""age"":""45-54"",""gender"":""male"",""percentage"":0.067864},{""age"":""18-24"",""gender"":""male"",""percentage"":0.05861},{""age"":""55-64"",""gender"":""male"",""percentage"":0.06711},{""age"":""65+"",""gender"":""female"",""percentage"":0.076913},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001165},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000685},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000754}","{""region"":""Utah"",""percentage"":0.000137},{""region"":""Washington"",""percentage"":6.9e-5},{""region"":""Baja California"",""percentage"":6.9e-5},{""region"":""Florida"",""percentage"":6.9e-5},{""region"":""Massachusetts"",""percentage"":6.9e-5},{""region"":""Missouri"",""percentage"":6.9e-5},{""region"":""Chiapas"",""percentage"":6.9e-5},{""region"":""Sonora"",""percentage"":0.000274},{""region"":""Distrito Federal"",""percentage"":6.9e-5},{""region"":""Puebla"",""percentage"":6.9e-5},{""region"":""New Mexico"",""percentage"":0.000137},{""region"":""Sinaloa"",""percentage"":6.9e-5},{""region"":""California"",""percentage"":0.000343},{""region"":""Arizona"",""percentage"":0.998491}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",en
1768657250175544,104135461941439,"Blake Masters for Senate",2022-10-25,2022-10-25,2022-11-09,"BLAKE MASTERS FOR SENATE","MARK KELLY'S RECORD:

NO to 20,000 new border agents to protect you

YES to 87,000 new IRS agents to take your money","Mark Kelly Doesn't Care About Our Safety",blakemasters.com,"Blake Masters Does.","lower_bound: 50000, upper_bound: 59999","lower_bound: 800, upper_bound: 899",USD,"{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000518},{""age"":""55-64"",""gender"":""male"",""percentage"":0.06968},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000648},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000583},{""age"":""18-24"",""gender"":""female"",""percentage"":0.062233},{""age"":""45-54"",""gender"":""female"",""percentage"":0.065924},{""age"":""18-24"",""gender"":""male"",""percentage"":0.045914},{""age"":""65+"",""gender"":""female"",""percentage"":0.078617},{""age"":""55-64"",""gender"":""female"",""percentage"":0.068838},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001295},{""age"":""35-44"",""gender"":""male"",""percentage"":0.095195},{""age"":""25-34"",""gender"":""male"",""percentage"":0.130488},{""age"":""35-44"",""gender"":""female"",""percentage"":0.095324},{""age"":""25-34"",""gender"":""female"",""percentage"":0.141432},{""age"":""45-54"",""gender"":""male"",""percentage"":0.072141},{""age"":""65+"",""gender"":""male"",""percentage"":0.06981},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000648},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000712}","{""region"":""Colorado"",""percentage"":0.000129},{""region"":""Florida"",""percentage"":6.5e-5},{""region"":""Texas"",""percentage"":6.5e-5},{""region"":""Utah"",""percentage"":6.5e-5},{""region"":""Washington"",""percentage"":0.000129},{""region"":""Sinaloa"",""percentage"":0.000129},{""region"":""Nevada"",""percentage"":6.5e-5},{""region"":""Arizona"",""percentage"":0.998772},{""region"":""California"",""percentage"":6.5e-5},{""region"":""New Mexico"",""percentage"":0.000259},{""region"":""Ohio"",""percentage"":6.5e-5},{""region"":""Puebla"",""percentage"":6.5e-5},{""region"":""Sonora"",""percentage"":0.000129}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",en
641631834268345,104135461941439,"Blake Masters for Senate",2022-10-25,2022-10-25,2022-11-01,"BLAKE MASTERS FOR SENATE","Murders.
Open borders.
Violent illegal aliens.
Crime is out of control, and THIS is how Mark Kelly reacts? 😡","Mark Kelly Made Arizona Unsafe",www.blakemasters.com,"We Need Blake Masters >>>","lower_bound: 30000, upper_bound: 34999","lower_bound: 1000, upper_bound: 1499",USD,"{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000534},{""age"":""35-44"",""gender"":""female"",""percentage"":0.123123},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.00089},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002017},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000712},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001009},{""age"":""18-24"",""gender"":""male"",""percentage"":0.030855},{""age"":""55-64"",""gender"":""female"",""percentage"":0.074527},{""age"":""45-54"",""gender"":""female"",""percentage"":0.098024},{""age"":""65+"",""gender"":""female"",""percentage"":0.047113},{""age"":""55-64"",""gender"":""male"",""percentage"":0.068356},{""age"":""35-44"",""gender"":""male"",""percentage"":0.143891},{""age"":""18-24"",""gender"":""female"",""percentage"":0.024921},{""age"":""25-34"",""gender"":""female"",""percentage"":0.098439},{""age"":""65+"",""gender"":""male"",""percentage"":0.036848},{""age"":""45-54"",""gender"":""male"",""percentage"":0.111256},{""age"":""25-34"",""gender"":""male"",""percentage"":0.137127},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000356}","{""region"":""Nevada"",""percentage"":5.9e-5},{""region"":""Oregon"",""percentage"":5.9e-5},{""region"":""British Columbia"",""percentage"":5.9e-5},{""region"":""Sonora"",""percentage"":0.000178},{""region"":""Alaska"",""percentage"":5.9e-5},{""region"":""Arizona"",""percentage"":0.998517},{""region"":""California"",""percentage"":0.000593},{""region"":""Minnesota"",""percentage"":5.9e-5},{""region"":""New Mexico"",""percentage"":5.9e-5},{""region"":""North Carolina"",""percentage"":5.9e-5},{""region"":""Oklahoma"",""percentage"":5.9e-5},{""region"":""Utah"",""percentage"":5.9e-5},{""region"":""Guayas Province"",""percentage"":5.9e-5},{""region"":""Baghdad Governorate"",""percentage"":5.9e-5},{""region"":""Azuay Province"",""percentage"":5.9e-5}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",en
2343582959142982,104135461941439,"Blake Masters for Senate",2022-10-25,2022-10-25,2022-11-01,"BLAKE MASTERS FOR SENATE","🚨 Arizona Police endorsed Blake Masters because we've got to protect our families—and Mark Kelly isn't getting it done.","Mark Kelly Made Arizona Unsafe",www.blakemasters.com,"Masters Will Protect Arizona","lower_bound: 15000, upper_bound: 19999","lower_bound: 600, upper_bound: 699",USD,"{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000219},{""age"":""65+"",""gender"":""male"",""percentage"":0.043879},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001645},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000987},{""age"":""18-24"",""gender"":""female"",""percentage"":0.027205},{""age"":""55-64"",""gender"":""female"",""percentage"":0.093681},{""age"":""55-64"",""gender"":""male"",""percentage"":0.074704},{""age"":""25-34"",""gender"":""female"",""percentage"":0.116169},{""age"":""35-44"",""gender"":""female"",""percentage"":0.141509},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000439},{""age"":""45-54"",""gender"":""female"",""percentage"":0.112549},{""age"":""45-54"",""gender"":""male"",""percentage"":0.097192},{""age"":""35-44"",""gender"":""male"",""percentage"":0.107394},{""age"":""25-34"",""gender"":""male"",""percentage"":0.092584},{""age"":""65+"",""gender"":""female"",""percentage"":0.064173},{""age"":""18-24"",""gender"":""male"",""percentage"":0.023914},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001097},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000658}","{""region"":""Veneto"",""percentage"":0.000113},{""region"":""New York"",""percentage"":0.000113},{""region"":""Oklahoma"",""percentage"":0.000113},{""region"":""California"",""percentage"":0.00034},{""region"":""Missouri"",""percentage"":0.000113},{""region"":""Oregon"",""percentage"":0.000113},{""region"":""Nevada"",""percentage"":0.000113},{""region"":""New Mexico"",""percentage"":0.000226},{""region"":""Texas"",""percentage"":0.000113},{""region"":""Arizona"",""percentage"":0.998642}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",en
850940192578134,104135461941439,"Blake Masters for Senate",2022-10-19,2022-10-20,2022-10-26,"BLAKE MASTERS FOR SENATE","🚨 Arizona Police endorsed Blake Masters because we've got to protect our families—and Mark Kelly isn't getting it done.","Mark Kelly Made Arizona Unsafe",www.blakemasters.com,"Masters Will Protect Arizona","lower_bound: 45000, upper_bound: 49999","lower_bound: 2500, upper_bound: 2999",USD,"{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.00127},{""age"":""18-24"",""gender"":""male"",""percentage"":0.028948},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.00037},{""age"":""35-44"",""gender"":""male"",""percentage"":0.113304},{""age"":""65+"",""gender"":""male"",""percentage"":0.037045},{""age"":""45-54"",""gender"":""female"",""percentage"":0.103461},{""age"":""65+"",""gender"":""female"",""percentage"":0.057737},{""age"":""18-24"",""gender"":""female"",""percentage"":0.034346},{""age"":""45-54"",""gender"":""male"",""percentage"":0.093565},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001111},{""age"":""55-64"",""gender"":""male"",""percentage"":0.065728},{""age"":""25-34"",""gender"":""female"",""percentage"":0.126958},{""age"":""25-34"",""gender"":""male"",""percentage"":0.112987},{""age"":""55-64"",""gender"":""female"",""percentage"":0.082134},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.00037},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001323},{""age"":""35-44"",""gender"":""female"",""percentage"":0.138918},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000423}","{""region"":""Colorado"",""percentage"":5.4e-5},{""region"":""Illinois"",""percentage"":0.000107},{""region"":""Anzo\u00e1tegui"",""percentage"":5.4e-5},{""region"":""Quintana Roo"",""percentage"":5.4e-5},{""region"":""Sonora"",""percentage"":0.000321},{""region"":""Arizona"",""percentage"":0.998983},{""region"":""California"",""percentage"":0.000268},{""region"":""Ohio"",""percentage"":5.4e-5},{""region"":""Texas"",""percentage"":5.4e-5},{""region"":""Guayas Province"",""percentage"":5.4e-5}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",en
865190554889399,104135461941439,"Blake Masters for Senate",2022-10-19,2022-10-20,2022-10-26,"BLAKE MASTERS FOR SENATE","Murders.
Open borders.
Violent illegal aliens.
Crime is out of control, and THIS is how Mark Kelly reacts? 😡","Mark Kelly Made Arizona Unsafe",www.blakemasters.com,"We Need Blake Masters >>>","lower_bound: 90000, upper_bound: 99999","lower_bound: 4500, upper_bound: 4999",USD,"{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000168},{""age"":""65+"",""gender"":""female"",""percentage"":0.05112},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.00037},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000908},{""age"":""18-24"",""gender"":""female"",""percentage"":0.02778},{""age"":""35-44"",""gender"":""female"",""percentage"":0.128035},{""age"":""18-24"",""gender"":""male"",""percentage"":0.029461},{""age"":""55-64"",""gender"":""male"",""percentage"":0.068339},{""age"":""65+"",""gender"":""male"",""percentage"":0.040829},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000942},{""age"":""45-54"",""gender"":""female"",""percentage"":0.093563},{""age"":""55-64"",""gender"":""female"",""percentage"":0.071669},{""age"":""35-44"",""gender"":""male"",""percentage"":0.136611},{""age"":""45-54"",""gender"":""male"",""percentage"":0.104628},{""age"":""25-34"",""gender"":""female"",""percentage"":0.110547},{""age"":""25-34"",""gender"":""male"",""percentage"":0.132138},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002321},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000572}","{""region"":""Baja California"",""percentage"":3.3e-5},{""region"":""California"",""percentage"":0.000262},{""region"":""Utah"",""percentage"":3.3e-5},{""region"":""Texas"",""percentage"":6.6e-5},{""region"":""Oklahoma"",""percentage"":3.3e-5},{""region"":""Nevada"",""percentage"":6.6e-5},{""region"":""Minnesota"",""percentage"":6.6e-5},{""region"":""Colorado"",""percentage"":3.3e-5},{""region"":""Arizona"",""percentage"":0.999017},{""region"":""Kansas"",""percentage"":3.3e-5},{""region"":""Sonora"",""percentage"":9.8e-5},{""region"":""Quintana Roo"",""percentage"":3.3e-5},{""region"":""Florida"",""percentage"":3.3e-5},{""region"":""Calabarzon"",""percentage"":3.3e-5},{""region"":""Oregon"",""percentage"":3.3e-5},{""region"":""North Carolina"",""percentage"":3.3e-5},{""region"":""New Mexico"",""percentage"":6.6e-5},{""region"":""Washington"",""percentage"":3.3e-5}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",en
448834253901296,104135461941439,"Blake Masters for Senate",2022-10-18,2022-10-18,2022-10-26,"BLAKE MASTERS FOR SENATE","MARK KELLY'S RECORD:

❌ NO to 20,000 new border agents to protect you
✅ YES to 87,000 new IRS agents to take your money","Mark Kelly Doesn't Care About Our Safety",blakemasters.com,"Blake Masters Does.","lower_bound: 80000, upper_bound: 89999","lower_bound: 1500, upper_bound: 1999",USD,"{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000579},{""age"":""18-24"",""gender"":""male"",""percentage"":0.0565},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000773},{""age"":""45-54"",""gender"":""male"",""percentage"":0.074319},{""age"":""35-44"",""gender"":""male"",""percentage"":0.08504},{""age"":""25-34"",""gender"":""female"",""percentage"":0.118022},{""age"":""25-34"",""gender"":""male"",""percentage"":0.128984},{""age"":""18-24"",""gender"":""female"",""percentage"":0.061619},{""age"":""45-54"",""gender"":""female"",""percentage"":0.06751},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000821},{""age"":""35-44"",""gender"":""female"",""percentage"":0.077651},{""age"":""65+"",""gender"":""male"",""percentage"":0.076299},{""age"":""55-64"",""gender"":""male"",""percentage"":0.081466},{""age"":""65+"",""gender"":""female"",""percentage"":0.091172},{""age"":""55-64"",""gender"":""female"",""percentage"":0.076734},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000773},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000821},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000918}","{""region"":""Colorado"",""percentage"":4.8e-5},{""region"":""Maharashtra"",""percentage"":4.8e-5},{""region"":""New Mexico"",""percentage"":0.000144},{""region"":""Puebla"",""percentage"":4.8e-5},{""region"":""California"",""percentage"":0.00024},{""region"":""Florida"",""percentage"":4.8e-5},{""region"":""Nevada"",""percentage"":0.000144},{""region"":""Ohio"",""percentage"":4.8e-5},{""region"":""Oregon"",""percentage"":4.8e-5},{""region"":""Texas"",""percentage"":9.6e-5},{""region"":""Utah"",""percentage"":4.8e-5},{""region"":""Sonora"",""percentage"":0.000288},{""region"":""Arizona"",""percentage"":0.998705},{""region"":""Ontario"",""percentage"":4.8e-5}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",en
658195359040233,104135461941439,"Blake Masters for Senate",2022-10-18,2022-10-18,2022-10-26,"BLAKE MASTERS FOR SENATE","13%... 📈

That's the inflation rate in Metro Phoenix—the HIGHEST in the nation. We're suffering, & Mark Kelly isn't helping.","We Can't Afford Mark Kelly",blakemasters.com,"We Need Blake Masters >>>","lower_bound: 125000, upper_bound: 149999","lower_bound: 4000, upper_bound: 4499",USD,"{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000923},{""age"":""18-24"",""gender"":""male"",""percentage"":0.065162},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000884},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.00073},{""age"":""55-64"",""gender"":""female"",""percentage"":0.052437},{""age"":""45-54"",""gender"":""male"",""percentage"":0.053514},{""age"":""65+"",""gender"":""male"",""percentage"":0.038674},{""age"":""35-44"",""gender"":""male"",""percentage"":0.090766},{""age"":""25-34"",""gender"":""male"",""percentage"":0.155274},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001384},{""age"":""45-54"",""gender"":""female"",""percentage"":0.062894},{""age"":""65+"",""gender"":""female"",""percentage"":0.055282},{""age"":""55-64"",""gender"":""male"",""percentage"":0.040174},{""age"":""25-34"",""gender"":""female"",""percentage"":0.184492},{""age"":""18-24"",""gender"":""female"",""percentage"":0.091958},{""age"":""35-44"",""gender"":""female"",""percentage"":0.104413},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.0005},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000538}","{""region"":""Alaska"",""percentage"":3.8e-5},{""region"":""Tennessee"",""percentage"":3.8e-5},{""region"":""New Mexico"",""percentage"":7.7e-5},{""region"":""Sonora"",""percentage"":7.7e-5},{""region"":""Quintana Roo"",""percentage"":7.7e-5},{""region"":""Ontario"",""percentage"":3.8e-5},{""region"":""California"",""percentage"":0.000421},{""region"":""Arizona"",""percentage"":0.998545},{""region"":""Attica (region)"",""percentage"":3.8e-5},{""region"":""Texas"",""percentage"":7.7e-5},{""region"":""Oklahoma"",""percentage"":3.8e-5},{""region"":""Michigan"",""percentage"":3.8e-5},{""region"":""Ohio"",""percentage"":3.8e-5},{""region"":""Nevada"",""percentage"":0.000115},{""region"":""Illinois"",""percentage"":3.8e-5},{""region"":""Florida"",""percentage"":3.8e-5},{""region"":""Colorado"",""percentage"":7.7e-5},{""region"":""Alabama"",""percentage"":7.7e-5},{""region"":""Colima"",""percentage"":3.8e-5},{""region"":""Utah"",""percentage"":3.8e-5},{""region"":""North Dakota"",""percentage"":3.8e-5}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",en
